"decimal_value","added_on_epoch","created_at_epoch","last_stage_change_at_epoch","date","contact_count"
210,1413572400000,1413638225000,1413638205000,"2014-10-15",2
,,,,"2014-10-22",0
480,1414652400000,1414713898000,1414713918000,"2014-10-29",1
,,,,"2014-11-05",0
200,1416297600000,1416309708000,1416309720000,"2014-11-12",1
,,,,"2014-11-19",0
,,,,"2014-11-26",0
200,1417680000000,1417691150000,1417691176000,"2014-12-03",1
,,,,"2014-12-10",0
,,,,"2014-12-17",0
,,,,"2014-12-24",0
,,,,"2014-12-31",0
1500,1421136000000,1424753610000,1421211120000,"2015-01-07",1
,,,,"2015-01-14",0
,,,,"2015-01-21",0
200,1422864000000,1424941513000,1422911040000,"2015-01-28",1
480,1423209600000,1427180082000,1423252440000,"2015-02-04",1
726.6666666666666,1423843200000,1425643690333.3333,1423903640000,"2015-02-11",3
2356,1424436480000,1424523941400,1424480652000,"2015-02-18",5
414.2857142857143,1425307885714.2856,1425370077571.4285,1425363866714.2856,"2015-02-25",7
400,1425656400000,1425736733666.6667,1425722301333.3333,"2015-03-04",3
600,1426662000000,1426738106000,1426694820000,"2015-03-11",1
806.6666666666666,1426288800000,1427201927666.6667,1427077026333.3333,"2015-03-18",3
950,1427612400000,1427691934500,1427648700000,"2015-03-25",2
,,,,"2015-04-01",0
890,1428793200000,1428899219000,1428899179333.3333,"2015-04-08",3
480,1429254000000,1429322165000,1429322100000,"2015-04-15",1
480,1430290800000,1430457398000,1430327798000,"2015-04-22",1
200,1430636400000,1430969371500,1430710141000,"2015-04-29",2
480,1431414000000,1431482121000,1431482121000,"2015-05-06",1
,,,,"2015-05-13",0
,,,,"2015-05-20",0
,,,,"2015-05-27",0
,,,,"2015-06-03",0
1480,1434236400000,1434305991333.3333,1434305991000,"2015-06-10",3
,,,,"2015-06-17",0
,,,,"2015-06-24",0
,,,,"2015-07-01",0
1500,1436425200000,1436506885000,1436506825000,"2015-07-08",1
,,,,"2015-07-15",0
,,,,"2015-07-22",0
480,1438671600000,1441412583000,1438734278000,"2015-07-29",1
,,,,"2015-08-05",0
,,,,"2015-08-12",0
200,1440572400000,1440564580000,1440575431000,"2015-08-19",1
,,,,"2015-08-26",0
1000,1441263600000,1441847959500,1441329546500,"2015-09-02",2
,,,,"2015-09-09",0
,,,,"2015-09-16",0
,,,,"2015-09-23",0
,,,,"2015-09-30",0
,,,,"2015-10-07",0
,,,,"2015-10-14",0
,,,,"2015-10-21",0
960,1446102000000,1446176114000,1446176124000,"2015-10-28",1
,,,,"2015-11-04",0
,,,,"2015-11-11",0
,,,,"2015-11-18",0
,,,,"2015-11-25",0
,,,,"2015-12-02",0
,,,,"2015-12-09",0
,,,,"2015-12-16",0
,,,,"2015-12-23",0
200,1452067200000,1452228567000,1452098966000,"2015-12-30",1
,,,,"2016-01-06",0
,,,,"2016-01-13",0
400,1453795200000,1453878408000,1453878407000,"2016-01-20",1
,,,,"2016-01-27",0
,,,,"2016-02-03",0
,,,,"2016-02-10",0
,,,,"2016-02-17",0
,,,,"2016-02-24",0
,,,,"2016-03-02",0
,,,,"2016-03-09",0
,,,,"2016-03-16",0
,,,,"2016-03-23",0
,,,,"2016-03-30",0
1104,1460444400000,1465148754000,1460483227000,"2016-04-06",2
1728,1460962800000,1462326018000,1461029958000,"2016-04-13",1
,,,,"2016-04-20",0
,,,,"2016-04-27",0
480,1462431600000,1462501500000,1462501440000,"2016-05-04",1
1182.5,1463187600000,1463949641500,1463247611500,"2016-05-11",4
300,1463641200000,1463803619400,1463708971200,"2016-05-18",5
250,1464246000000,1464317862000,1464317862000,"2016-05-25",1
250,1465282800000,1465359130000,1465359071000,"2016-06-01",1
1493.3333333333333,1465484400000,1465530353666.6667,1465530353666.6667,"2016-06-08",3
485,1466578800000,1467825391500,1466615846500,"2016-06-15",2
640,1466967600000,1467172106500,1466999279500,"2016-06-22",2
850,1467658800000,1467722292500,1467722345000,"2016-06-29",2
340,1468047600000,1468106650000,1468273798000,"2016-07-06",4
425,1468652400000,1468712751500,1468712731750,"2016-07-13",4
1205.05125,1469192400000,1469260046875,1469278965375,"2016-07-20",8
2592,1470069360000,1469670227200,1470128846200,"2016-07-27",5
397.3076923076923,1470313938461.5386,1470384118615.3845,1470649532307.6924,"2016-08-03",13
315.7142857142857,1469824971428.5715,1469896008428.5715,1471205214714.2856,"2016-08-10",7
628,1471654800000,1471052297000,1471723072750,"2016-08-17",4
322,1472367600000,1471683735400,1472424851200,"2016-08-24",5
1022.6666666666666,1472958000000,1472838393833.3333,1473024677166.6667,"2016-08-31",6
409.375,1473458400000,1473100002500,1473526605500,"2016-09-07",8
380,1474246800000,1472006034000,1474310744000,"2016-09-14",4
592.6,1474752240000,1473665762600,1474820431100,"2016-09-21",10
293.84615384615387,1475351723076.923,1474355234538.4614,1475417666000,"2016-09-28",13
414.4,1474527600000,1473256493200,1475969927800,"2016-10-05",5
551.4285714285714,1476539485714.2856,1474540190285.7144,1476591191000,"2016-10-12",7
566,1477257840000,1477316434000,1477316407400,"2016-10-19",5
434.75,1477648800000,1477714502375,1477714452125,"2016-10-26",8
333.3,1478322360000,1478369659000,1478368910700,"2016-11-02",10
419,1478980800000,1479042186000,1479040853875,"2016-11-09",8
225,1479801600000,1479839912000,1479839861000,"2016-11-16",2
253.75,1480276800000,1480341878000,1480343202000,"2016-11-23",8
320,1480591542857.1428,1480668688428.5715,1480840672000,"2016-11-30",7
310.625,1481356800000,1481427251250,1481427203875,"2016-12-07",8
245,1481947200000,1482021703833.3333,1482021825833.3333,"2016-12-14",6
950,1482652800000,1482730801000,1482730896000,"2016-12-21",2
438.5,1483214400000,1483256949500,1483256922000,"2016-12-28",2
325,1483848000000,1483303870333.3333,1483895741000,"2017-01-04",6
429.3333333333333,1483027200000,1483095221666.6667,1484402597666.6667,"2017-01-11",6
594.5,1485007200000,1485083124250,1485072056250,"2017-01-18",4
208.33333333333334,1483718400000,1485036749666.6667,1485612728666.6667,"2017-01-25",3
488.75,1481701500000,1481775150250,1486032781000,"2017-02-01",4
938.8571428571429,1485553371428.5715,1485630905714.2856,1486919237857.1428,"2017-02-08",7
208,1486771200000,1486809029166.6667,1487326824333.3333,"2017-02-15",6
308.42857142857144,1484145771428.5715,1484209443857.1428,1488147574571.4285,"2017-02-22",7
796,1480612320000,1480675646600,1488759263600,"2017-03-01",5
480,1468393200000,1468460906000,1489287948000,"2017-03-08",1
256,1489854960000,1489914217600,1489952258000,"2017-03-15",5
4879.6,1489302720000,1489365873600,1490568290600,"2017-03-22",5
686.5,1491030000000,1491079910250,1491083683000,"2017-03-29",4
200,1491418800000,1491455304000,1491455304000,"2017-04-05",2
327.5,1492326000000,1492371454000,1492535598000,"2017-04-12",2
480,1493103600000,1493163698000,1493163833000,"2017-04-19",1
1377.5,1493470800000,1493548621500,1493548865250,"2017-04-26",4
601.4,1489647600000,1489718900000,1494186227800,"2017-05-03",5
450,1495004400000,1495065715000,1495065773000,"2017-05-10",1
797.3333333333334,1491405600000,1491464921333.3333,1495106968000,"2017-05-17",3
241.66666666666666,1495839600000,1495906111333.3333,1495906273333.3333,"2017-05-24",3
1795,1496401200000,1496468518333.3333,1496468800333.3333,"2017-05-31",6
233.14285714285714,1497065657142.8572,1497139143714.2856,1497139145857.1428,"2017-06-07",7
372.8,1495022400000,1495090976200,1497751431400,"2017-06-14",5
335.6666666666667,1493940000000,1494015627000,1498482797666.6667,"2017-06-21",3
324,1498633200000,1498712765000,1498712655000,"2017-06-28",1
375,1490340600000,1491829592000,1499527299500,"2017-07-05",2
870,1500145200000,1500218181000,1500218125500,"2017-07-12",2
4704.56,1500879600000,1500956439000,1500956320000,"2017-07-19",1
377.84999999999997,1497496200000,1497763335833.3333,1501307408666.6667,"2017-07-26",6
767.732,1501311600000,1501382933300,1501903422900,"2017-08-02",10
413.905,1501916400000,1501984663500,1502443213250,"2017-08-09",4
1331.98,1502809200000,1502877404833.3333,1503353203500,"2017-08-16",6
746.6783333333333,1502766000000,1502831691333.3333,1503899624500,"2017-08-23",6
624.2933333333334,1503831600000,1503906351500,1504381721500,"2017-08-30",6
250,1489474800000,1489542580000,1505188715000,"2017-09-06",1
402.85,1502336057142.8572,1502405417571.4285,1505755142714.2856,"2017-09-13",7
289.2033333333333,1504767600000,1504819256666.6667,1506434944333.3333,"2017-09-20",3
348.63,1503008742857.1428,1503075956642.8572,1506783465571.4285,"2017-09-27",14
676.6875,1503774000000,1503848127250,1507492977500,"2017-10-04",4
512.2439999999999,1505061360000,1505133264600,1508104592800,"2017-10-11",5
403.10666666666674,1505862000000,1505933078333.3333,1508468948333.3333,"2017-10-18",6
1964.4442857142856,1506273428571.4285,1506346363428.5715,1509233068428.5715,"2017-10-25",7
450.48,1509741600000,1509804181111.111,1509805421444.4443,"2017-11-01",9