"bucket","frequency"
"$0 - $100",14
"$100 - $200",45
"$200 - $300",114
"$300 - $400",61
"$400 - $500",65
"$500 - $600",22
"$600 - $700",27
"$700 - $800",8
"$800 - $900",4
"$900 - $1000",11
"$1000 - $1100",9
"$1100 - $1200",6
"$1200 - $1300",7
"$1300 - $1400",7
"$1400 - $1500",3
"$1500 - $1600",7
"$1600 - $1700",1
"$1700 - $1800",5
"$1800 - $1900",8
"$1900 - $2000",1
"$2000 - $2100",0
"$2100 - $2200",4
"$2200 - $2300",1
"$2300 - $2400",1
"$2400 - $2500",1
"$2500 - $2600",0
"$2600 - $2700",2
"$2700 - $2800",0
"$2800 - $2900",0
"$2900 - $3000",1
"$3000 - $3100",0
"$3100 - $3200",0
"$3200 - $3300",0
"$3300 - $3400",0
"$3400 - $3500",0
"$3500 - $3600",0
"$3600 - $3700",1
"$3700 - $3800",1
"$3800 - $3900",2
"$3900 - $4000",0
"$4000 - $4100",0
"$4100 - $4200",1
"$4200 - $4300",0
"$4300 - $4400",0
"$4400 - $4500",0
"$4500 - $4600",1
"$4600 - $4700",0
"$4700 - $4800",1
"$4800 - $4900",0
"$4900 - $5000",0
"$5000 - $5100",0
"$5100 - $5200",0
"$5200 - $5300",0
"$5300 - $5400",0
"$5400 - $5500",0
"$5500 - $5600",0
"$5600 - $5700",0
"$5700 - $5800",0
"$5800 - $5900",1
"$5900 - $6000",2
"$6000 - $6100",0
"$6100 - $6200",0
"$6200 - $6300",1
"$6300 - $6400",0
"$6400 - $6500",0
"$6500 - $6600",0
"$6600 - $6700",0
"$6700 - $6800",0
"$6800 - $6900",0
"$6900 - $7000",1
"$7000 - $7100",0
"$7100 - $7200",0
"$7200 - $7300",1
"$7300 - $7400",0
"$7400 - $7500",0
"$7500 - $7600",0
"$7600 - $7700",0
"$7700 - $7800",0
"$7800 - $7900",0
"$7900 - $8000",0
"$8000 - $8100",0
"$8100 - $8200",0
"$8200 - $8300",0
"$8300 - $8400",0
"$8400 - $8500",0
"$8500 - $8600",0
"$8600 - $8700",0
"$8700 - $8800",0
"$8800 - $8900",0
"$8900 - $9000",0
"$9000 - $9100",0
"$9100 - $9200",0
"$9200 - $9300",0
"$9300 - $9400",0
"$9400 - $9500",0
"$9500 - $9600",0
"$9600 - $9700",1
"$9700 - $9800",0