"date","retention_rate"
"2015-05-09",0
"2015-06-09",0
"2015-07-10",0
"2015-08-10",0.13
"2015-09-10",0.16
"2015-10-11",0.21
"2015-11-10",0.18
"2015-12-11",0.17
"2016-01-11",0.16
"2016-02-11",0.18
"2016-03-14",0.17
"2016-04-14",0.17
"2016-05-15",0.17
"2016-06-15",0.18
"2016-07-16",0.18
"2016-08-16",0.2
"2016-09-16",0.19
"2016-10-17",0.14
"2016-11-16",0.15
"2016-12-17",0.17
"2017-01-17",0.26
"2017-02-17",0.32
"2017-03-21",0.31
"2017-04-21",0.28
"2017-05-22",0.3
"2017-06-22",0.29
"2017-07-23",0.28
"2017-08-23",0.26
"2017-09-23",0.26
"2017-10-24",0.26
"2017-11-23",0.26
"2017-12-24",0.26
"2018-01-24",0.25